Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Duration
nan,21/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,1 stop,In-flight meal not included,12898.0,5.5h
nan,15/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,non-stop,No info,3311.0,2.6666666666666665h
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,04:55,12:35,1 stop,No info,9103.0,7.666666666666667h
IndiGo,15/03/2019,Kolkata,Banglore,CCU → BLR,22:10,00:55 16 Mar,non-stop,No info,4148.0,2.75h
IndiGo,9/06/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,non-stop,No info,5224.0,2.583333333333333h
IndiGo,9/05/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,non-stop,No info,4804.0,2.583333333333333h
IndiGo,6/06/2019,Chennai,Kolkata,MAA → CCU,19:35,nan,non-stop,No info,3597.0,2.333333333333333h
IndiGo,27/06/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,non-stop,No info,4804.0,2.583333333333333h
Jet Airways,6/05/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,non-stop,In-flight meal not included,4995.0,1.5h
SpiceJet,9/04/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,non-stop,No info,3873.0,2.4166666666666665h
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,04:25 02 Jun,1 stop,In-flight meal not included,10262.0,13.416666666666666h
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,non-stop,In-flight meal not included,3210.0,1.5h
GoAir,9/06/2019,Delhi,Cochin,DEL → HYD → COK,07:30,13:35,1 stop,No info,6276.0,6.083333333333333h
Jet Airways,09/03/2019,Banglore,New Delhi,BLR → BOM → DEL,21:25,08:15 13 Mar,1 stop,In-flight meal not included,9134.0,10.833333333333334h
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,13:15 13 Mar,1 stop,In-flight meal not included,11087.0,18.33333333333333h
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,nan,04:40 02 May,1 stop,nan,13941.0,14.583333333333334h
Air India,3/06/2019,Delhi,Cochin,DEL → COK,05:10,08:00,non-stop,No info,5201.0,2.833333333333333h
IndiGo,nan,Delhi,Cochin,DEL → HYD → COK,05:05,16:10,1 stop,No info,6171.0,11.083333333333334h
Air Asia,1/03/2019,nan,Banglore,CCU → BLR,19:35,22:05,non-stop,nan,5964.0,2.5h
Jet Airways,27/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 28 May,2 stops,No info,15129.0,23.83333333333333h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 19 May,2 stops,In-flight meal not included,13029.0,26.916666666666668h
Jet Airways,27/05/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,non-stop,In-flight meal not included,nan,3.0h
GoAir,18/05/2019,Kolkata,Banglore,CCU → AMD → BLR,16:40,00:15 19 May,1 stop,No info,10586.0,7.583333333333333h
Air India,6/03/2019,Mumbai,Hyderabad,BOM → JAI → DEL → HYD,11:35,19:25 07 Mar,2 stops,No info,17926.0,31.83333333333333h
Jet Airways,6/06/2019,Delhi,Cochin,DEL → COK,11:00,nan,nan,No info,9564.0,3.25h
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,1 stop,No info,8355.0,7.25h
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,01:30 07 Jun,1 stop,No info,6795.0,15.166666666666666h
Air India,15/05/2019,Delhi,Cochin,DEL → BLR → COK,13:30,08:15 16 May,1 stop,No info,10671.0,18.75h
Air India,27/03/2019,Delhi,Cochin,DEL → UDR → BOM → COK,13:20,07:40 28 Mar,2 stops,No info,10178.0,nanh
Vistara,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,09:05 13 Jun,1 stop,No info,7927.0,25.916666666666668h
Air India,18/05/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,non-stop,No info,3100.0,1.5h
Air India,6/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 07 Mar,2 stops,No info,12646.0,23.5h
IndiGo,6/03/2019,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,1 stop,No info,7894.0,5.0h
IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,non-stop,No info,nan,2.75h
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,1 stop,No info,7575.0,7.833333333333333h
Jet Airways,6/03/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:25,19:45 07 Mar,2 stops,nan,16914.0,38.333333333333336h
Vistara,24/06/2019,Delhi,nan,DEL → COK,14:40,17:50,non-stop,No info,6216.0,3.1666666666666665h
nan,21/05/2019,Delhi,Cochin,DEL → BLR → COK,17:05,22:15,1 stop,No info,6147.0,5.166666666666667h
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 16 May,1 stop,No info,6979.0,8.0h
Air India,27/05/2019,Delhi,Cochin,DEL → COK,18:05,21:10,non-stop,No info,6094.0,3.083333333333333h
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,20:50,04:25 28 Mar,1 stop,No info,12242.0,7.583333333333333h
Air India,12/06/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,21:50,2 stops,No info,9416.0,9.833333333333334h
Air India,21/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,09:25 22 Mar,2 stops,No info,7107.0,20.166666666666668h
Jet Airways,9/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,19:00 10 Jun,2 stops,No info,13292.0,21.58333333333333h
IndiGo,3/03/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,non-stop,No info,7295.0,2.333333333333333h
IndiGo,18/04/2019,Banglore,Delhi,BLR → DEL,00:30,03:25,non-stop,No info,4423.0,2.9166666666666665h
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,23:30,02:20 28 Mar,non-stop,No info,nan,2.833333333333333h
Jet Airways,24/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,10:25,1 stop,In-flight meal not included,8147.0,4.666666666666667h
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 28 May,1 stop,No info,13377.0,12.5h
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,00:45 07 Mar,1 stop,In-flight meal not included,13502.0,10.666666666666666h
Jet Airways,9/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:40,04:25 10 Mar,2 stops,In-flight meal not included,13764.0,22.75h
Jet Airways,6/06/2019,nan,Banglore,CCU → DEL → BLR,17:00,09:45 07 Jun,1 stop,No info,12692.0,16.75h
IndiGo,18/05/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,non-stop,No info,4804.0,2.583333333333333h
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,09:20 02 Apr,1 stop,In-flight meal not included,7064.0,24.916666666666668h
Jet Airways,24/06/2019,Delhi,Cochin,nan,07:05,12:35,1 stop,No info,14924.0,5.5h
IndiGo,1/03/2019,Kolkata,Banglore,CCU → BLR,15:20,17:55,non-stop,nan,6565.0,2.583333333333333h
Air India,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 19 May,2 stops,No info,9863.0,26.58333333333333h
IndiGo,6/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,21:00,1 stop,No info,7725.0,5.0h
Air India,15/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 16 May,2 stops,No info,11281.0,21.25h
Jet Airways,21/05/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,non-stop,In-flight meal not included,3210.0,1.5h
Air India,nan,Kolkata,Banglore,CCU → HYD → BLR,19:00,04:40 02 May,1 stop,No info,6117.0,9.666666666666666h
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,nan,04:25 25 Jun,1 stop,In-flight meal not included,10262.0,12.416666666666666h
IndiGo,1/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,non-stop,No info,3943.0,2.833333333333333h
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40 13 Jun,1 stop,No info,12576.0,9.75h
Air Asia,21/04/2019,Delhi,Cochin,DEL → BLR → COK,07:55,13:25,1 stop,No info,7452.0,5.5h
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,16:20,1 stop,No info,14781.0,9.833333333333334h
Air India,12/06/2019,Kolkata,Banglore,CCU → BBI → BLR,09:10,13:15,1 stop,No info,8996.0,4.083333333333333h
Air India,6/03/2019,Delhi,Cochin,DEL → BLR → COK,13:30,08:15 07 Mar,1 stop,No info,11563.0,18.75h
IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,04:00,06:50,non-stop,No info,4777.0,2.833333333333333h
IndiGo,9/04/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,non-stop,No info,4174.0,2.583333333333333h
SpiceJet,6/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,non-stop,No check-in baggage included,3841.0,2.5h
Jet Airways,24/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,18:20,04:25 25 Jun,2 stops,No info,13775.0,10.083333333333334h
Air India,27/03/2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 28 Mar,1 stop,No info,5117.0,16.083333333333332h
Jet Airways,15/06/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,non-stop,No info,5678.0,1.5h
nan,1/04/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,1 stop,In-flight meal not included,5177.0,5.0h
SpiceJet,9/05/2019,Delhi,nan,DEL → BLR → COK,nan,22:50,1 stop,nan,5975.0,4.916666666666667h
nan,03/03/2019,Banglore,New Delhi,BLR → DEL,00:40,03:25,non-stop,No info,nan,2.75h
IndiGo,18/05/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,non-stop,No info,4804.0,2.75h
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 28 Jun,1 stop,No info,13377.0,14.0h
Air India,21/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,1 stop,No info,8372.0,9.25h
Multiple carriers,1/06/2019,Delhi,nan,DEL → BOM → COK,09:00,21:00,1 stop,No info,7933.0,12.0h
IndiGo,15/05/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,non-stop,No info,4049.0,1.5h
Air India,03/03/2019,Banglore,New Delhi,BLR → DEL,10:00,12:45,non-stop,No info,11423.0,2.75h
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 16 May,1 stop,In-flight meal not included,10844.0,21.416666666666668h
Jet Airways,21/03/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 23 Mar,2 stops,No info,12819.0,42.75h
SpiceJet,18/04/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 19 Apr,non-stop,No info,5621.0,2.9166666666666665h
Air India,9/05/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,non-stop,No info,5228.0,2.75h
Jet Airways,27/03/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:25,19:45 28 Mar,2 stops,In-flight meal not included,9254.0,38.333333333333336h
IndiGo,1/05/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,non-stop,No info,4392.0,1.5h
Jet Airways,21/03/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,non-stop,No info,8040.0,1.5h
Air Asia,27/04/2019,Banglore,Delhi,nan,11:10,13:55,non-stop,No info,4483.0,2.75h
Air India,3/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,09:45,09:25 04 Mar,2 stops,No info,nan,23.666666666666668h
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,non-stop,No info,7229.0,2.9166666666666665h
Vistara,24/04/2019,Banglore,Delhi,BLR → DEL,07:00,09:40,nan,No info,5403.0,2.6666666666666665h
Air India,21/03/2019,Delhi,Cochin,DEL → BOM → COK,07:00,19:15,nan,No info,nan,12.25h
GoAir,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 16 May,1 stop,nan,6945.0,8.25h
SpiceJet,6/04/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,non-stop,No info,4423.0,2.833333333333333h
Jet Airways,15/03/2019,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,non-stop,No info,8040.0,1.4166666666666667h
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,1 stop,In-flight meal not included,11399.0,11.0h
Jet Airways,21/04/2019,Delhi,Cochin,DEL → COK,11:00,14:15,non-stop,In-flight meal not included,nan,3.25h
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,1 stop,No info,13727.0,9.5h
SpiceJet,24/06/2019,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,1 stop,No info,4957.0,4.916666666666667h
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,1 stop,In-flight meal not included,10262.0,6.0h
SpiceJet,nan,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,non-stop,No info,2017.0,1.5h
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,18:15,nan,1 stop,No info,12242.0,10.166666666666666h
Jet Airways,1/03/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,non-stop,No info,10875.0,1.5h
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,20:45,1 stop,In-flight meal not included,10844.0,6.666666666666667h
Air Asia,3/06/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,non-stop,No info,4409.0,2.583333333333333h
Air India,nan,Banglore,New Delhi,BLR → COK → DEL,06:55,23:20,1 stop,No info,6987.0,16.416666666666668h
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:40,04:25 28 Mar,2 stops,No info,12074.0,22.75h
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,1 stop,No info,7354.0,7.833333333333333h
nan,3/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,16:55,19:15 04 Jun,2 stops,No info,13381.0,nanh
Air India,15/06/2019,Delhi,Cochin,DEL → COK,05:10,08:00,non-stop,No info,5201.0,2.833333333333333h
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,12:00 02 May,1 stop,In-flight meal not included,9663.0,19.5h
Air India,9/05/2019,Delhi,Cochin,DEL → COK,18:05,21:10,non-stop,No info,6094.0,3.083333333333333h
Jet Airways,12/05/2019,Delhi,Cochin,DEL → COK,11:00,14:15,non-stop,nan,7202.0,nanh
Vistara,6/06/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,non-stop,No info,11982.0,2.333333333333333h
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,16:10,1 stop,In-flight meal not included,7832.0,9.166666666666666h
Air India,9/03/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,non-stop,No info,7817.0,2.25h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,1 stop,In-flight meal not included,12373.0,6.0h
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,1 stop,In-flight meal not included,10844.0,9.833333333333334h
Jet Airways,9/06/2019,nan,Cochin,DEL → NAG → BOM → COK,06:45,12:35 10 Jun,2 stops,No info,13376.0,29.83333333333333h
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → HYD → COK,09:45,16:10,1 stop,No info,9646.0,6.416666666666667h
SpiceJet,6/06/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 07 Jun,non-stop,No check-in baggage included,3841.0,2.333333333333333h
SpiceJet,21/03/2019,Delhi,nan,DEL → BLR → COK,16:35,22:50,1 stop,No info,4957.0,6.25h
IndiGo,9/03/2019,Kolkata,Banglore,nan,21:25,00:05 10 Mar,non-stop,No info,4148.0,2.6666666666666665h
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,05:05 02 Mar,1 stop,No info,26890.0,6.25h
Jet Airways,27/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:45 28 Mar,2 stops,In-flight meal not included,8834.0,24.58333333333333h
IndiGo,24/04/2019,Delhi,Cochin,DEL → BLR → COK,02:00,07:45,1 stop,No info,5241.0,5.75h
Jet Airways,27/05/2019,Delhi,Cochin,DEL → COK,11:00,14:15,non-stop,In-flight meal not included,7989.0,3.25h
IndiGo,12/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,01:30 13 Jun,1 stop,No info,5883.0,14.916666666666666h
Air Asia,18/05/2019,Kolkata,Banglore,CCU → BBI → BLR,06:50,10:30,1 stop,No info,6857.0,3.6666666666666665h
SpiceJet,15/03/2019,Banglore,New Delhi,BLR → HYD → DEL,15:35,23:40,1 stop,No info,5822.0,8.083333333333334h
Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,04:25 10 Jun,1 stop,In-flight meal not included,10262.0,13.416666666666666h
Jet Airways,12/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,non-stop,In-flight meal not included,4995.0,1.4166666666666667h
SpiceJet,21/04/2019,Banglore,Delhi,BLR → DEL,nan,12:20,non-stop,nan,4991.0,2.833333333333333h
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,21:20,1 stop,No info,nan,15.583333333333334h
Jet Airways,12/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,2 stops,No info,18804.0,7.333333333333333h
IndiGo,1/06/2019,Delhi,Cochin,DEL → HYD → COK,08:35,22:30,1 stop,No info,6442.0,13.916666666666666h
Air India,18/03/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,non-stop,No info,5170.0,2.5h
SpiceJet,18/03/2019,Banglore,New Delhi,BLR → DEL,20:30,23:20,non-stop,No info,4377.0,2.833333333333333h
Jet Airways,9/06/2019,Delhi,Cochin,DEL → COK,11:00,14:15,non-stop,No info,9564.0,3.25h
SpiceJet,27/06/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,non-stop,No check-in baggage included,3573.0,2.6666666666666665h
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:45 07 Mar,1 stop,No info,17024.0,26.25h
Air Asia,21/05/2019,Banglore,Delhi,BLR → DEL,04:55,07:45,non-stop,No info,3383.0,2.833333333333333h
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,nan,1 stop,No info,27992.0,6.25h
Jet Airways,nan,Banglore,Delhi,BLR → DEL,08:20,11:20,non-stop,No info,7229.0,3.0h
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,10:25,1 stop,In-flight meal not included,9134.0,4.666666666666667h
nan,21/06/2019,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,non-stop,No info,3100.0,1.4166666666666667h
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,1 stop,No info,13727.0,12.0h
Vistara,1/04/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,20:20,1 stop,No info,8452.0,13.166666666666666h
nan,3/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,1 stop,No info,14714.0,9.0h
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → MAA → DEL,09:45,15:55,1 stop,In-flight meal not included,7280.0,6.166666666666667h
Air India,6/03/2019,Mumbai,Hyderabad,BOM → GOI → PNQ → HYD,13:30,16:55,2 stops,No info,18797.0,3.4166666666666665h
IndiGo,3/06/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,non-stop,No info,2754.0,1.5h
Air Asia,3/06/2019,Kolkata,Banglore,CCU → BLR,22:50,01:20 04 Jun,non-stop,nan,nan,2.5h
IndiGo,27/04/2019,Delhi,Cochin,DEL → COK,14:20,17:35,non-stop,No info,5021.0,3.25h
Jet Airways,9/03/2019,Mumbai,Hyderabad,BOM → HYD,06:30,08:00,non-stop,No info,8040.0,1.5h
Air India,15/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:15,1 stop,No info,10454.0,10.25h
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,03:50,12:35,1 stop,No info,10197.0,8.75h
Air India,12/05/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,non-stop,No info,5228.0,2.75h
Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,1 stop,No info,14714.0,5.0h
Air India,15/03/2019,Banglore,New Delhi,BLR → DEL,06:10,08:55,nan,No info,7276.0,2.75h
IndiGo,27/03/2019,Delhi,Cochin,DEL → BBI → COK,02:35,08:30,1 stop,No info,7731.0,5.916666666666667h
Air Asia,18/05/2019,Kolkata,Banglore,CCU → BBI → BLR,19:55,23:30,1 stop,No info,6857.0,3.583333333333333h
Air India,18/06/2019,Banglore,Delhi,BLR → DEL,05:45,08:45,non-stop,No info,6961.0,3.0h
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,10:45,04:25 22 Mar,2 stops,In-flight meal not included,7791.0,17.666666666666668h
IndiGo,21/03/2019,Banglore,New Delhi,BLR → DEL,10:10,13:00,non-stop,No info,4777.0,2.833333333333333h
Jet Airways,9/03/2019,Delhi,nan,DEL → BOM → COK,19:15,04:25 10 Mar,1 stop,No info,16289.0,9.166666666666666h
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40 02 Apr,1 stop,No info,12681.0,9.75h
IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,18:25,21:20,non-stop,No info,4823.0,2.9166666666666665h
Jet Airways,9/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 10 Jun,2 stops,No info,13014.0,26.916666666666668h
Jet Airways,6/04/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,1 stop,In-flight meal not included,5406.0,11.916666666666666h
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:00,1 stop,No info,9315.0,11.5h
Air India,9/05/2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 10 May,1 stop,No info,7480.0,20.916666666666668h
Jet Airways,18/03/2019,Banglore,nan,BLR → BOM → DEL,14:05,19:10,1 stop,nan,14815.0,5.083333333333333h
Air India,24/03/2019,nan,Banglore,CCU → DEL → BLR,20:30,16:15 25 Mar,1 stop,No info,nan,19.75h
Air India,15/03/2019,Banglore,New Delhi,BLR → CCU → BBI → DEL,05:50,23:45,2 stops,No info,nan,17.916666666666668h
Air India,6/06/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,19:15 07 Jun,2 stops,No info,12777.0,26.0h
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:15,1 stop,No info,8837.0,11.75h
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 02 May,1 stop,In-flight meal not included,10844.0,12.916666666666666h
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,19:50,1 stop,No info,14571.0,13.333333333333334h
IndiGo,15/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,1 stop,No info,6093.0,13.5h
IndiGo,6/03/2019,Delhi,Cochin,DEL → HYD → COK,08:35,16:10,1 stop,No info,7514.0,7.583333333333333h
IndiGo,18/05/2019,Delhi,Cochin,DEL → COK,14:25,17:40,non-stop,No info,6015.0,3.25h
nan,21/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,04:25 22 May,1 stop,In-flight meal not included,12898.0,18.416666666666668h
Air India,1/06/2019,Delhi,Cochin,DEL → BOM → COK,19:00,19:15 02 Jun,1 stop,No info,8792.0,24.25h
IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,08:30,11:20,non-stop,No info,4823.0,2.833333333333333h
SpiceJet,1/04/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,non-stop,No check-in baggage included,3919.0,2.6666666666666665h
IndiGo,nan,Chennai,Kolkata,nan,13:15,15:35,non-stop,No info,3597.0,2.333333333333333h
SpiceJet,21/05/2019,Mumbai,Hyderabad,BOM → HYD,nan,07:15,non-stop,No info,nan,1.5h
Air Asia,27/06/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 28 Jun,non-stop,No info,3383.0,2.833333333333333h
SpiceJet,18/06/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 19 Jun,non-stop,No check-in baggage included,1965.0,1.5h
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,1 stop,In-flight meal not included,10262.0,10.333333333333334h
Jet Airways,3/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,04:25 04 Mar,1 stop,No info,17234.0,12.416666666666666h
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,nan,04:40 10 Jun,1 stop,nan,14178.0,8.666666666666666h
IndiGo,3/06/2019,Delhi,Cochin,nan,02:00,07:25,1 stop,No info,5636.0,5.416666666666667h
IndiGo,15/04/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,non-stop,No info,4823.0,2.9166666666666665h
Air India,21/05/2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 22 May,1 stop,No info,7480.0,20.916666666666668h
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 10 Jun,1 stop,No info,14571.0,21.416666666666668h
IndiGo,1/03/2019,Mumbai,Hyderabad,BOM → HYD,09:10,10:40,non-stop,No info,13999.0,1.5h
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,21:05 19 May,1 stop,No info,14151.0,24.666666666666668h
Air India,1/05/2019,Banglore,Delhi,BLR → DEL,21:05,nan,non-stop,No info,6121.0,nanh
SpiceJet,24/05/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,non-stop,No check-in baggage included,3543.0,2.25h
Air India,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 19 May,2 stops,No info,10651.0,23.5h
Jet Airways,21/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 23 May,2 stops,No info,15129.0,29.33333333333333h
IndiGo,24/06/2019,Delhi,Cochin,DEL → MAA → COK,07:15,12:30,1 stop,No info,6582.0,5.25h
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:30,12:35,2 stops,In-flight meal not included,15544.0,7.083333333333333h
IndiGo,27/03/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:35 28 Mar,1 stop,No info,8574.0,7.0h
IndiGo,9/03/2019,Mumbai,Hyderabad,BOM → HYD,02:30,04:00,non-stop,No info,4784.0,1.5h
IndiGo,3/06/2019,Delhi,Cochin,DEL → HYD → COK,05:05,12:10,1 stop,No info,6818.0,7.083333333333333h
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,09:30 02 Mar,1 stop,No info,25735.0,19.416666666666668h
Jet Airways,9/04/2019,Delhi,nan,DEL → AMD → BOM → COK,13:25,19:00 10 Apr,2 stops,nan,9483.0,29.58333333333333h
